,grid_import
0,203.56699999999995
1,187.26000000000002
2,186.32899999999998
3,180.42399999999998
4,178.27799999999993
5,184.09299999999993
6,179.73999999999995
7,188.6220000000001
8,194.8919999999999
9,180.61099999999996
10,184.62055079863137
11,210.73832619794715
12,213.0847753993157
13,231.487
14,229.03099999999995
15,212.0379999999999
16,216.337
17,248.52200000000002
18,256.52900000000005
19,248.16899999999998
20,241.6119999999999
21,239.35699999999997
22,221.2529999999999
23,197.13500000000005
24,183.93100000000004
25,172.08699999999996
26,162.78099999999995
27,163.84300000000002
28,158.09500000000003
29,177.28399999999993
30,169.76000000000013
31,173.90700000000004
32,171.26099999999988
33,201.86999999999983
34,212.94480734457093
35,217.00459871651407
36,227.89085559041962
37,232.23700000000005
38,212.41099999999997
39,221.28399999999996
40,227.8569999999998
41,227.505
42,244.67300000000003
43,249.52299999999994
44,240.09699999999998
45,225.91800000000006
46,211.67000000000002
47,217.04100000000003
48,185.22400000000007
49,172.39500000000007
50,181.25500000000002
51,170.52599999999995
52,163.24099999999999
53,180.14699999999993
54,178.192
55,180.40799999999987
56,186.1489999999999
57,206.48900000000003
58,225.66487699657839
59,231.12883418426088
60,233.0014651739963
61,219.06748658015513
62,218.685
63,241.4200000000001
64,279.1380000000001
65,292.4379999999999
66,308.7220000000001
67,290.906
68,301.9629999999999
69,293.5069999999998
70,286.34600000000006
71,270.681
72,229.22799999999992
73,207.21500000000003
74,197.2
75,195.36200000000002
76,197.4329999999999
77,214.48600000000002
78,213.30600000000007
79,243.03299999999996
80,270.5639999999999
81,262.8895185254101
82,263.6299785938412
83,272.50832619794704
84,274.0636843411494
85,253.58496229324768
86,258.30577539931573
87,267.1350000000001
88,272.949
89,295.726
90,299.3230000000001
91,301.671
92,284.804
93,287.984
94,279.6360000000001
95,258.18600000000004
96,242.75400000000005
97,224.21400000000006
98,220.06699999999995
99,212.57000000000005
100,210.13799999999983
101,226.57099999999997
102,223.98200000000006
103,273.00299999999993
104,282.7939999999999
105,286.96426165150467
106,281.9918335283288
107,280.0864380063402
108,249.4865824159205
109,274.7823421705747
110,272.6750000000002
111,270.70000000000005
112,286.5470000000002
113,313.77900000000005
114,315.52599999999995
115,310.7429999999998
116,319.90299999999996
117,321.457
118,306.21000000000004
119,309.26699999999994
120,273.51500000000004
121,252.52099999999987
122,246.77700000000013
123,247.59599999999998
124,239.63599999999997
125,260.4250000000001
126,264.14000000000004
127,295.928
128,302.183
129,315.24142236167836
130,311.28497859384134
131,321.6715293924725
132,328.2567753993159
133,308.68500000000006
134,317.912
135,316.1349999999999
136,306.111
137,324.35400000000004
138,339.7869999999998
139,338.4770000000001
140,310.81800000000004
141,310.60899999999987
142,309.68
143,286.42400000000004
144,294.87299999999993
145,259.338
146,228.48500000000004
147,228.96899999999997
148,230.65300000000005
149,240.5490000000001
150,241.11499999999992
151,278.92800000000005
152,296.61
153,292.69155079863145
154,298.5208555904197
155,325.97873258699804
156,333.6575079863139
157,318.70555079863124
158,300.2899999999998
159,304.70000000000005
160,320.546
161,307.77599999999984
162,331.0720000000001
163,334.48400000000004
164,322.79799999999994
165,323.22500000000014
166,319.0850000000002
167,286.43999999999977
168,271.7699999999998
169,238.69400000000007
170,235.23799999999991
171,223.16799999999995
172,220.80700000000007
173,238.12100000000007
174,233.01500000000004
175,269.7269999999999
176,294.9649999999999
177,304.8710000000001
178,308.09377539931575
179,306.82081277810215
180,279.8158606959849
181,285.23003161728917
182,287.68503737878643
183,286.554
184,298.74
185,300.70200000000006
186,321.68600000000004
187,318.71399999999994
188,313.51300000000026
189,301.97899999999987
190,276.94900000000007
191,276.57099999999997
192,279.155
193,254.10999999999993
194,254.02599999999995
195,248.78199999999995
196,223.16500000000002
197,238.14599999999993
198,241.33100000000005
199,264.71199999999993
200,252.45600000000013
201,261.2158929692061
202,263.7495667712591
203,286.6127910439774
204,337.1665239589415
205,343.461978593841
206,313.03599999999983
207,295.687
208,282.79699999999985
209,306.50500000000005
210,304.2070000000001
211,327.74999999999994
212,301.557
213,288.914
214,266.01000000000005
215,264.127
216,252.18900000000005
217,232.35099999999994
218,215.37299999999996
219,206.25899999999996
220,205.138
221,213.5789999999999
222,214.18500000000003
223,222.75000000000006
224,224.22499999999997
225,256.46877539931563
226,274.24163098973503
227,273.7861923274633
228,296.5030852966691
229,263.0975769823892
230,303.35287156304724
231,287.94300000000004
232,304.63199999999995
233,346.93699999999995
234,358.623
235,344.78900000000004
236,345.76200000000006
237,336.635
238,335.6589999999999
239,318.18800000000016
240,285.8569999999999
241,271.04600000000016
242,248.37300000000008
243,245.28199999999993
244,253.01599999999993
245,259.416
246,253.42500000000007
247,283.7110000000001
248,303.17799999999994
249,304.187
250,306.11877539931555
251,316.7963261979471
252,305.2223261979472
253,291.1079357815237
254,297.7555079863139
255,316.1560000000001
256,304.55600000000004
257,315.14200000000005
258,327.80000000000007
259,302.10900000000004
260,291.286
261,302.3220000000001
262,288.4479999999998
263,290.2710000000001
264,257.8799999999999
265,233.7810000000001
266,237.153
267,240.75400000000005
268,239.6130000000001
269,249.02100000000002
270,264.00300000000004
271,272.031
272,303.766
273,297.8852884911946
274,274.70807953517186
275,262.42596163731565
276,261.56981755570115
277,300.27915494867665
278,278.1671015972628
279,300.058
280,298.4309999999999
281,310.41000000000014
282,324.91999999999996
283,322.00000000000017
284,320.308
285,321.236
286,306.562
287,286.5700000000002
288,264.4620000000001
289,236.8009999999998
290,236.4379999999999
291,232.20700000000005
292,237.46699999999996
293,239.08800000000002
294,238.40300000000005
295,270.384
296,313.305
297,312.3495507986314
298,310.03648658015516
